AL|[3000:5,500:4,0:2]
ALM|[6000:5,1000:4,0:2]
AK|[0:0]
AZ|[152434:4.54,50812:4.24,25406:3.36,10163:2.88,0:2.59]
AR|[35299:7,21099:6,12699:4.4,8399:3.4,4299:2.4,0:0.9]
CA|[526443:12.3,315866:11.3,263222:10.3,51530:9.3,40773:8,29372:6,18610:4,7850:2,0:1]
CO|[0:4.63]
CT|[500000:6.99,250000:6.9,200000:6.5,100000:6,50000:5.5,10000:5,0:3]
CTM|[1000000:6.99,500000:6.9,400000:6.5,200000:6,100000:5.5,20000:5,0:3]
DC|[350000:8.95,60000:8.5,40000:7,10000:6,0:4]
DE|[60000:6.6,25000:5.55,20000:5.2,10000:4.8,5000:3.9,2000:2.2,0:0]
FL|[0:0]
GA|[7000:6,5250:5,3750:4,2250:3,750:2,0:1]
GAM|[10000:6,5250:5,3750:4,2250:3,1000:2,0:1]
HI|[200000:11,175000:10,150000:9,48000:8.25,36000:7.9,24000:7.6,19200:7.2,14400:6.8,9600:6.4,4800:5.5,2400:3.2,0:1.4]
HIM|[400000:11,350000:10,300000:9,96000:8.25,72000:7.9,48000:7.6,38400:7.2,28800:6.8,19200:6.4,9600:5.5,4800:3.2,0:1.4]
ID|[10889:7.4,7259:7.1,5807:6.1,4355:5.1,2903:4.1,1451:3.6,0:1.6]
IDM|[21778:7.4,14518:7.1,11614:6.1,8710:5.1,5806:4.1,2902:3.6,0:1.6]
IL|[0:3.75]
IN|[0:3.3]
IA|[69255:8.98,46170:7.92,30780:6.80,23085:6.48,13852:6.12,6156:4.50,3078:2.43,1539:0.72,0:0.36]
KS|[15000:4.6,0:2.7]
KSM|[30000:4.6,0:2.7]
KY|[75000:6,8000:5.8,5000:5,4000:4,3000:3,0:2]
LA|[50000:6,12500:4,0:2]
LAM|[100000:6,25000:4,0:2]
ME|[20899:7.95,5199:6.5,0:0]
MEM|[41849:7.95,10449:6.5,0:0]
MD|[250000:5.75,150000:5.50,125000:5.25,100000:5,3000:4.75,2000:4,1000:3,0:2]
MA|[0:5.1]
MI|[0:4.25]
MN|[154950:9.85,82360:7.85,25070:7.05,0:5.35]
MNM|[258260:9.85,145620:7.85,36650:7.05,0:5.35]
MS|[10000:5,5000:4,0:3]
MO|[9000:6,8000:5.5,7000:5,6000:4.5,5000:4,4000:3.5,3000:3,2000:2.5,1000:2,99:1.5,0:0]
MT|[17100:6.9,13300:6,10300:5,7600:4,5000:3,2800:2,0:1]
NE|[29460:6.84,18280:5.01,3050:3.51,0:2.46]
NEM|[58920:6.84,36570:5.01,6090:3.51,0:2.46]
NV|[0:0]
NH|[0:0]
NJ|[500000:8.97,75000:6.37,40000:5.525,35000:3.5,20000:1.75,0:1.4]
NJM|[500000:8.97,150000:6.37,80000:5.525,70000:3.5,50000:2.45,20000:1.75,0:1.4]
NM|[16000:4.9,11000:4.7,5500:3.2,0:1.7]
NMM|[24000:4.9,16000:4.7,8000:3.2,0:1.7]
NY|[1062650:8.82,212500:6.85,79600:6.65,21150:6.45,13750:5.9,11600:5.25,8400:4.5,0:4]
NC|[0:5.75]
ND|[411500:2.90,189300:2.64,90750:2.27,37450:2.04,0:1.10]
NDM|[411500:2.90,230450:2.64,151200:2.27,62600:2.04,0:1.10]
OH|[208500:4.997,104250:4.597,83350:3.960,41700:3.465,20900:2.969,15650:2.476,10400:1.980,5200:0.990,0:0.495]
OK|[8700:5.25,7200:5,4900:4,3750:3,2500:2,1000:1,0:0.5]
OKM|[15000:5.25,12200:5,9800:4,7500:3,5000:2,2000:1,0:0.5]
OR|[125000:9.9,8400:9,3350:7,0:5]
ORM|[250000:9.9,16800:9,6700:7,0:5]
PA|[0:3.07]
RI|[137650:5.99,60550:4.75,0:3.75]
SC|[14550:7,11640:6,8730:5,5820:4,2910:3,0:0]
SD|[0:0]
TN|[0:0]
TX|[0:0]
UT|[0:5]
VT|[411500:8.95,189300:8.8,90750:7.8,37450:6.8,0:3.55]
VTM|[411500:8.95,230450:8.8,151200:7.8,62600:6.8,0:3.55]
VA|[17000:5.75,5000:5,3000:3,0:2]
WA|[0:0]
WV|[60000:6.5,40000:6,25000:4.5,10000:4,0:3]
WI|[244270:7.65,22190:6.27,11090:5.84,0:4]
WIM|[325700:7.65,29580:6.27,14790:5.84,0:4]
WY|[0:0]
